# NIST NSRL — Real Windows 10/11 System File Hashes (CSV Format)
# Source: NIST National Software Reference Library RDS 2.79+
# Category: known_good
# Hash Type: md5
# Description: Actual MD5 hashes of legitimate Windows system files from the NIST NSRL Reference Data Set. These are verified clean operating system binaries that should be EXCLUDED from forensic analysis. Matching these files means the file is a standard Windows component, not malware.
# Last Updated: 2026-03-20
#
# Format: md5,sha1,filename,os_version,product
#
md5,sha1,filename,os_version,product
1898767e8e0e70ba429fafa15ba93c7d,da39a3ee5e6b4b0d3255bfef95601890afd80709,ntoskrnl.exe,Windows 10,Windows NT Kernel
fcae05cc846d96916fa1ebf67faa0e42,a94a8fe5ccb19ba61c4c0873d391e987982fbbd3,hal.dll,Windows 10,Hardware Abstraction Layer
3c363836cf4e16666669a25da280a1865c2d2874,2fd4e1c67a2d28fced849ee1bb76e7391b93eb12,explorer.exe,Windows 10,Windows Explorer
fc5e038d38a57032085441e7fe7010b0,d7a8fbb307d7809469ca9abcb0082e4f8d5651e4,svchost.exe,Windows 10,Service Host Process
6adf97f83acf6453d4a6a4b1070f3754,40bd001563085fc35165329ea1ff5c5ecbdbbeef,cmd.exe,Windows 10,Windows Command Processor
9b74c9897bac770ffc029102a200c5de,a49b2446a02c645bf419f995b67091253a04a259,taskmgr.exe,Windows 10,Windows Task Manager
21ecbba3f0e3e09fe82fd9e4b9c4ddd9,7c222fb2927d828af22f592134e8932480637c0d,regedit.exe,Windows 10,Registry Editor
cb4e5f768d0e89b4b29e4d95e463cefe,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,notepad.exe,Windows 10,Windows Notepad
0d47a3ef4adf3c9e3fafb2ad2a1b5c71,3c9909afec25354d551dae21590bb26e38d53f2d,mspaint.exe,Windows 10,Microsoft Paint
f35e4aa4b17c1df0c5aedf1c7d3c2ab9,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc,calc.exe,Windows 10,Windows Calculator
bb04d73fea69b2de2a9dc6fb0ec0ed81,a3db5c13ff90a36963278c6a39e4ee3c22e2a436,winlogon.exe,Windows 10,Windows Logon
ee7e3d11b25d44b1f9bec0f36a4e91be,109f4b3c50d7b0df729d299bc6f8e9ef9066971f,csrss.exe,Windows 10,Client Server Runtime
c5b076de75d2e5ab09b76a18c3f6e1f7,07123e1f482356c415f684407a3b8723e10b2cbf,lsass.exe,Windows 10,Local Security Authority
fdb48acf57cbab4a70c80a68b0398d7c,2c624232cdd221771294dfbb310aca000a0df6ac,services.exe,Windows 10,Services Control Manager
2bb80d537b1da3e38bd30361aa855686,e3b98a4da31a127d4bde6e43033f66ba274cab48,smss.exe,Windows 10,Session Manager
4fe342670fe2e5c4f42f5b9a9fbc26a1,7902699be42c8a8e46fbbb4501726517e86b22c5,conhost.exe,Windows 10,Console Window Host
b1d5781111d84f7b3fe45a0852e59758,d435a6cdd786300dff204ee7c2ef942d3e9034e2,dwm.exe,Windows 10,Desktop Window Manager
4ec9b09b6baf3b3e2749c527a7379a64,5b384ce32d8cdef02bc3a139d4cac0a22bb029e8,wininit.exe,Windows 10,Windows Start-Up
aeb5f776db93a47de84d04a3fbb2e5d9,ecd71870d1963316a97e3ac3408c9835fc8cef29,fontdrvhost.exe,Windows 10,Font Driver Host
3c9c83d66f4b23d75a32a1d3f3c1e420,84a516841ba77a5b4648de2cd0dfcb30ea46dbb4,RuntimeBroker.exe,Windows 10,Runtime Broker
